shelter name,city,state,address,website,phone
Catholic Center of Concern,Irondale,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Foundry Ministries,Irondale,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Big Oak ranch Girls Facility,Irondale,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
,Jackson,alabama,",",,
Salvation Army Jasper AL,Jasper,alabama,"207 20th Street East, Jasper, AL 35502",,205-221-7737
Hope's Inn For Single Mothers,Lafayette,alabama,"PO Box 145, Lafayette, AL 36862",,334-864-0890
His Place - Homeless Services and Substance Abuse Services,Lafayette,alabama,"1415 2nd Avenue, Opelika, AL 36801",http://harvestevangelism.org,334-742-0777
Harvest Evangelism,Lafayette,alabama,"2510 Pepperell Pkwy, Opelika, AL 36801",http://harvestevangelism.org/,(334) 742-0777
Hope's Inn For Single Mothers,Lanett,alabama,"PO Box 145, Lafayette, AL 36862",,334-864-0890
Baptist Tabernacle Food Closet,Lanett,alabama,"849 South Davis Road, Lagrange, GA 30241",http://www.baptisttabernacle.ws,706-882-0087
His Place - Homeless Services and Substance Abuse Services,Lanett,alabama,"1415 2nd Avenue, Opelika, AL 36801",http://harvestevangelism.org,334-742-0777
Harvest Evangelism,Lanett,alabama,"2510 Pepperell Pkwy, Opelika, AL 36801",http://harvestevangelism.org/,(334) 742-0777
Valley Rescue Mission,Lanett,alabama,"2903 Second Avenue, Columbus, GA 31902",http://www.valleyrescuemission.org/,
Open Door Community House,Lanett,alabama,"2405 2nd Avenue, Columbus, GA 31901",http://opendoorcommunityhouse.org/,
Salvation Army Shelter Columbus GA,Lanett,alabama,"1718 2nd Avenue, Columbus, GA 31901",,(706)327-0275
House of Restoration,Lanett,alabama,"1200 12th Ct, Phenix City, AL 36869",,(334) 480-8894
Trunks of Love Lighthouse Ministries,Lanett,alabama,"P.O.Box 1285, Phenix City, AL 36877",http://www.trunksoflove.org,
House of Mercy,Lanett,alabama,"1532 Third Avenue, Columbus, GA 31901",http://www.houseofmercycolumbus.com/,(706)322-6463
Clay Veterans Center,Leeds,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
The Lovelady Center,Leeds,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Leeds,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
YWCA Interfaith Hospitality House for Families,Leeds,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Community Kitchens of Birmingham,Leeds,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Leeds,alabama,"140 58th St N, Birmingham, AL 35212",,
Priority Veteran Birmingham,Leeds,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Jimmie Hale Mission Shelter - Shepura Mens Center,Leeds,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Bridge Ministries - Homeless Families with Children,Leeds,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Jessies Place - Homeless Shelter for Women and Children,Leeds,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
First Light,Leeds,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
First Light Women Childrens Shelter and Services,Leeds,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Fellowship House,Leeds,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Birmingham PATH Center,Leeds,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Pathways - For Women,Leeds,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Brother Bryan Mission,Leeds,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
Hannah Bethany Home - Womens Homeless Shelter,Leeds,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
The Firehouse Shelter,Leeds,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Bread and Roses Hospitality House,Leeds,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Hope House Residential Youth Shelter,Leeds,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Salvation Army of Greater Birmingham Emergency Housing,Leeds,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Jimmie Hale Mission,Leeds,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Changed Lives Christian Center,Leeds,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Aletheia House,Leeds,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Catholic Center of Concern,Leeds,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Big Oak ranch Girls Facility,Leeds,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
Foundry Ministries,Leeds,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
,Livingston,alabama,",",,
Family Promise of Baldwin County Homeless Services,Loxley,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
The Shoulder Rehab For Men,Loxley,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Salvation Army Foley Alabama,Loxley,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
McKemie Place,Loxley,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Mary's Shelter Gulf Coast,Loxley,alabama,"14001 Boros Rd, Elberta, AL 36530",,
Waterfront Rescue Mission of Alabama,Loxley,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Salvation Army Mobile - Dauphin Way Lodge,Loxley,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
Family Promise of Coastal Alabama Mobile,Loxley,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Taking it By Force Women's Weekend Shelter,Loxley,alabama,"3801C St. Stephens Road, Mobile, AL 36612",,251-458-8478
Housing First The Homeless Coalition,Loxley,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
New Futures Family Lodge Huntsville,Madison,alabama,"5429 Oakwood Rd, Huntsville, AL 35806",,
Downtown Rescue Mission,Madison,alabama,"1400 Evangel Drive, Huntsville, AL 35816",https://www.downtownrescuemission.org/,256-536-2441
The Salvation Army Huntsville Emergency Shelter and Lodge,Madison,alabama,"305 Seminole, Huntsville, AL 35805",http://salvationarmyalm.org/huntsville/,256-536-8876
The Studio Shelter and Services,Madison,alabama,"1001 Oakwood Avenue, Huntsville, AL 35801",https://hmcpl.org/community/studio-shelter-and-services,256-489-8088
Salvation Army Center of Hope Decatur,Madison,alabama,"114 14th St SW, Decatur, AL 35601",http://salvationarmyalm.org/decatur/center-of-hope/,256-353-2822
Tennessee Valley Outreach Mission,Madison,alabama,"2117 Old Moulton Heights Road, Decatur, AL 35602",http://www.tennesseevalleyoutreach.org/,
Vision of Grace Transition Home,Millbrook,alabama,"2764 Vandy Dr, Montgomery, AL 36110",http://www.visionofgracetransitionhome.org,310-925-0801
Vision of Grace Transition Home,Millbrook,alabama,"2764 Vandy Dr, Montgomery, AL 36110",,
Mary Ellen's Hearth AT Nellie Burge Community Center,Millbrook,alabama,"1226 Clay Street, Montgomery, AL 36104",http://maryellenshearth.org/,
Salvation Army Montgomery,Millbrook,alabama,"900 Maxwell Boulevard, Montgomery, AL 36104",http://salvationarmyalm.org/montgomery/,334.269.2018
Family Promise of Montgomery Services,Millbrook,alabama,"28 Crenshaw Street, Montgomery, AL 36104",,
Faith Rescue Mission,Millbrook,alabama,"108 Camden Street, Montgomery, AL 36104",,
Renascence In Prisoner Re-entry,Millbrook,alabama,"215 Clayton Street, Montgomery, AL 36104",http://www.halfway-home.net/main.html,334-832-1402
Montgomery Rescue Mission,Millbrook,alabama,"17 Mildred Street, Montgomery, AL 36104",,
Genesis House - Aid To Inmate Mothers,Millbrook,alabama,"660 Morgan Avenue, Montgomery, AL 36104",http://www.inmatemoms.org,
Friendship Mission For Men,Millbrook,alabama,"3561 Mobile Highway, Montgomery, AL 36108",,
Return To Reality - Recovery House For Women,Millbrook,alabama,"1000 East South Blvd, Montgomery, AL 36105",http://www.return2reality.org/,
Family Promise of Coastal Alabama Mobile,Mobile,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Housing First The Homeless Coalition,Mobile,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
Salvation Army Mobile - Dauphin Way Lodge,Mobile,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
McKemie Place,Mobile,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Waterfront Rescue Mission of Alabama,Mobile,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Taking it By Force Women's Weekend Shelter,Mobile,alabama,"3801C St. Stephens Road, Mobile, AL 36612",,251-458-8478
The Shoulder Rehab For Men,Mobile,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Women In Crisis Homeless Shelter Inc.,Mobile,alabama,"9030 Broadus Loop Rd., Eight Mile, AL 36613",,
Mission of Hope For Men and Women,Mobile,alabama,"14970 Mission Road, Mobile, AL 36608",http://www.missionofhopeministries.net,
,Monroeville,alabama,",",,
Montgomery Rescue Mission,Montgomery,alabama,"17 Mildred Street, Montgomery, AL 36104",,
Renascence In Prisoner Re-entry,Montgomery,alabama,"215 Clayton Street, Montgomery, AL 36104",http://www.halfway-home.net/main.html,334-832-1402
Genesis House - Aid To Inmate Mothers,Montgomery,alabama,"660 Morgan Avenue, Montgomery, AL 36104",http://www.inmatemoms.org,
Salvation Army Montgomery,Montgomery,alabama,"900 Maxwell Boulevard, Montgomery, AL 36104",http://salvationarmyalm.org/montgomery/,334.269.2018
Mary Ellen's Hearth AT Nellie Burge Community Center,Montgomery,alabama,"1226 Clay Street, Montgomery, AL 36104",http://maryellenshearth.org/,
Family Promise of Montgomery Services,Montgomery,alabama,"28 Crenshaw Street, Montgomery, AL 36104",,
Faith Rescue Mission,Montgomery,alabama,"108 Camden Street, Montgomery, AL 36104",,
Friendship Mission For Men,Montgomery,alabama,"3561 Mobile Highway, Montgomery, AL 36108",,
Return To Reality - Recovery House For Women,Montgomery,alabama,"1000 East South Blvd, Montgomery, AL 36105",http://www.return2reality.org/,
Vision of Grace Transition Home,Montgomery,alabama,"2764 Vandy Dr, Montgomery, AL 36110",,
Vision of Grace Transition Home,Montgomery,alabama,"2764 Vandy Dr, Montgomery, AL 36110",http://www.visionofgracetransitionhome.org,310-925-0801
House of Love and Mercy,Montgomery,alabama,"508 Jordan Avenue, Tallassee, AL 36078",,334-283-8116
Clay Veterans Center,Moody,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
The Lovelady Center,Moody,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
YWCA Interfaith Hospitality House for Families,Moody,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Community Kitchens of Birmingham,Moody,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Moody,alabama,"140 58th St N, Birmingham, AL 35212",,
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Moody,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Priority Veteran Birmingham,Moody,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Big Oak ranch Girls Facility,Moody,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
Jimmie Hale Mission Shelter - Shepura Mens Center,Moody,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Jessies Place - Homeless Shelter for Women and Children,Moody,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
First Light,Moody,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
First Light Women Childrens Shelter and Services,Moody,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Bridge Ministries - Homeless Families with Children,Moody,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Birmingham PATH Center,Moody,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Pathways - For Women,Moody,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Fellowship House,Moody,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Brother Bryan Mission,Moody,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Moody,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Salvation Army of Greater Birmingham Emergency Housing,Moody,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Hannah Bethany Home - Womens Homeless Shelter,Moody,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Bread and Roses Hospitality House,Moody,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Hope House Residential Youth Shelter,Moody,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Changed Lives Christian Center,Moody,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Jimmie Hale Mission,Moody,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Aletheia House,Moody,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Catholic Center of Concern,Moody,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
A House of Refuge,Moody,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Tennessee Valley Outreach Mission,Moulton,alabama,"2117 Old Moulton Heights Road, Decatur, AL 35602",http://www.tennesseevalleyoutreach.org/,
Salvation Army Center of Hope Decatur,Moulton,alabama,"114 14th St SW, Decatur, AL 35601",http://salvationarmyalm.org/decatur/center-of-hope/,256-353-2822
Salvation Army Florence,Moulton,alabama,"1601 Huntsville Road, Florence, AL 35630",http://salvationarmyalm.org/florence/services/,(256) 764-4432
Crossroads Community Outreach,Moulton,alabama,"318 S. Court Street, Florence, AL 35630",https://www.crossroadsco.org/,
Sunrise Center,Muscle Shoals,alabama,"2120 West 17th Street, Sheffield, AL 35660",,
Crossroads Community Outreach,Muscle Shoals,alabama,"318 S. Court Street, Florence, AL 35630",https://www.crossroadsco.org/,
Salvation Army Florence,Muscle Shoals,alabama,"1601 Huntsville Road, Florence, AL 35630",http://salvationarmyalm.org/florence/services/,(256) 764-4432
Community Soup Bowl,Northport,alabama,"1711 23rd Ave, Tuscaloosa, AL 35401",http://tuscaloosasoupbowl.com/,
Jesus Way Homeless Shelter,Northport,alabama,"2681 24th Street, Tuscaloosa, AL 35401",,205-759-9771
Salvation Army Tuscaloosa,Northport,alabama,"2902 Greensboro Avenue, Tuscaloosa, AL 35403",,205-345-6939
Tuscaloosa VA Medical Center Homeless Services,Northport,alabama,"3701 Loop Road East, Tuscaloosa, AL 35404",,205-554-2000
Dent Transitional Program,Northport,alabama,"15769 Thomas Chapel Road, Cottondale, AL 35453",http://tracydentfoundation.pledgepage.org,(205) 246-5655
Sunrise Center,Oakland,alabama,"2120 West 17th Street, Sheffield, AL 35660",,
Crossroads Community Outreach,Oakland,alabama,"318 S. Court Street, Florence, AL 35630",https://www.crossroadsco.org/,
Salvation Army Florence,Oakland,alabama,"1601 Huntsville Road, Florence, AL 35630",http://salvationarmyalm.org/florence/services/,(256) 764-4432
A House of Refuge,Oneonta,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Big Oak ranch Girls Facility,Oneonta,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
Clay Veterans Center,Oneonta,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Albertville Downtown Rescue Mission,Oneonta,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
The Lovelady Center,Oneonta,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
YWCA Interfaith Hospitality House for Families,Oneonta,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
The Lighthouse for Recovery Ministries,Oneonta,alabama,"140 58th St N, Birmingham, AL 35212",,
Community Kitchens of Birmingham,Oneonta,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
Salvation Army of Greater Birmingham Emergency Housing,Oneonta,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
His Place - Homeless Services and Substance Abuse Services,Opelika,alabama,"1415 2nd Avenue, Opelika, AL 36801",http://harvestevangelism.org,334-742-0777
Harvest Evangelism,Opelika,alabama,"2510 Pepperell Pkwy, Opelika, AL 36801",http://harvestevangelism.org/,(334) 742-0777
Hope's Inn For Single Mothers,Opelika,alabama,"PO Box 145, Lafayette, AL 36862",,334-864-0890
BRIDGES shelter for Teen Girls,Opelika,alabama,"206 East Oak Street, Tuskegee, AL 36083",,
House of Restoration,Opelika,alabama,"1200 12th Ct, Phenix City, AL 36869",,(334) 480-8894
Valley Rescue Mission,Opelika,alabama,"2903 Second Avenue, Columbus, GA 31902",http://www.valleyrescuemission.org/,
Trunks of Love Lighthouse Ministries,Opelika,alabama,"P.O.Box 1285, Phenix City, AL 36877",http://www.trunksoflove.org,
Open Door Community House,Opelika,alabama,"2405 2nd Avenue, Columbus, GA 31901",http://opendoorcommunityhouse.org/,
Salvation Army Shelter Columbus GA,Opelika,alabama,"1718 2nd Avenue, Columbus, GA 31901",,(706)327-0275
Mary's Shelter Gulf Coast,Orange Beach,alabama,"14001 Boros Rd, Elberta, AL 36530",,
Salvation Army Foley Alabama,Orange Beach,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
Family Promise of Baldwin County Homeless Services,Orange Beach,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
Victory House Ministries,Orange Beach,alabama,"6200 West Fairfield Drive, Pensacola, FL 32506",,
Curry House,Orange Beach,alabama,"4610 West Fairfield DR, Pensacola, FL 32505",,(850)453-2772
Salvation Army Lodge,Orange Beach,alabama,"1310 North S Street, Pensacola, FL 32505",http://www.uss.salvationarmy.org/uss/www_uss_pensacola.nsf,(850)432-1579
Heavenly Blessings Mission,Orange Beach,alabama,"1614 North T Street, Pensacola, FL 32505",,
Loaves and Fishes,Orange Beach,alabama,"257 East Lane St, Pensacola, FL 32501",,
The Waterfront Rescue Mission,Orange Beach,alabama,"380 W. Herman Street, Pensacola, FL 32505",https://waterfrontmission.org/,850.478.4027
Alfred Washburn Center,Orange Beach,alabama,"31 Murphy Lane, Pensacola, FL 32505",,
M-Power House - Youth shelter ages: 16 to 21 years,Orange Beach,alabama,"Private location, Pensacola , FL 32503",https://www.chsfl.org/,850 266-2719
Women and Children Cold Weather Shelter,Orange Beach,alabama,"50 W Johnson Ave, Pensacola, FL 32534",https://www.ensleyfbc.org/,850-476-2221
Harbor House Group Home,Orange Beach,alabama,"7801 N Hilburn Road, Pensacola, FL 32514",http://www.harborhousegroupinc.org/,(850) 473-9603
The Shoulder Rehab For Men,Orange Beach,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Alabama Baptist Children's Homes and Family Ministries,Oxford,alabama,"1210 Friendship Rd, Oxford, AL 36203",,
Salvation Army Anniston  Emergency Services,Oxford,alabama,"420 Noble Street, Anniston, AL 36201",,236-5644
Salvation Army Domestic Violence and Womens Shelter,Oxford,alabama,"PO Box 218, Anniston, AL 36202",,(256) 236-5644
Presbyterian Home for Children,Oxford,alabama,"905 Ashland Highway, Talladega, AL 35160",,
Big Oak Ranch Boys,Oxford,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
Dale County Rescue Mission,Ozark,alabama,"182 Martin St, Ozark, AL 36360",,
Christian Mission Centers,Ozark,alabama,"307 North Main Street, Enterprise, AL 36330",http://www.christmissions.org/,
Ground Zero Rescue Mission,Ozark,alabama,"181 Geneva Hwy, Enterprise, AL 36330",,334-475-3220
Momma Tina's Mission House - TOPS,Ozark,alabama,"605 N. Alice Street, Dothan, AL 36303",,
Dothan Rescue Mission - Men's Lodge,Ozark,alabama,"216 East Crawford Street, Dothan, AL 36301",http://dothanrescuemission.com/,
Dothan Rescue Mission - Women's Lodge,Ozark,alabama,"209 East Washington Street, Dothan, AL 36301",http://dothanrescuemission.com/,
Christian Mission Bargain Center Shelter and Services Troy,Ozark,alabama,"104 Pecan Street, Troy, AL 36081",,
Foundry Ministries,Pelham,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Hannah Bethany Home - Womens Homeless Shelter,Pelham,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Bread and Roses Hospitality House,Pelham,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Fellowship House,Pelham,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Bridge Ministries - Homeless Families with Children,Pelham,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Jimmie Hale Mission,Pelham,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Catholic Center of Concern,Pelham,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Brother Bryan Mission,Pelham,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Pelham,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Priority Veteran Birmingham,Pelham,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Hope House Residential Youth Shelter,Pelham,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Jimmie Hale Mission Shelter - Shepura Mens Center,Pelham,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Birmingham PATH Center,Pelham,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Pathways - For Women,Pelham,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
First Light Women Childrens Shelter and Services,Pelham,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
First Light,Pelham,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Pelham,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Jessies Place - Homeless Shelter for Women and Children,Pelham,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
Aletheia House,Pelham,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Community Kitchens of Birmingham,Pelham,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
YWCA Interfaith Hospitality House for Families,Pelham,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Changed Lives Christian Center,Pelham,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
The Lighthouse for Recovery Ministries,Pelham,alabama,"140 58th St N, Birmingham, AL 35212",,
Salvation Army of Greater Birmingham Emergency Housing,Pelham,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
The Lovelady Center,Pelham,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Clay Veterans Center,Pelham,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Presbyterian Home for Children,Pell City,alabama,"905 Ashland Highway, Talladega, AL 35160",,
Big Oak ranch Girls Facility,Pell City,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
Clay Veterans Center,Pell City,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Big Oak Ranch Boys,Pell City,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
A House of Refuge,Pell City,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Trunks of Love Lighthouse Ministries,Phenix City,alabama,"P.O.Box 1285, Phenix City, AL 36877",http://www.trunksoflove.org,
House of Restoration,Phenix City,alabama,"1200 12th Ct, Phenix City, AL 36869",,(334) 480-8894
House of Mercy,Phenix City,alabama,"1532 Third Avenue, Columbus, GA 31901",http://www.houseofmercycolumbus.com/,(706)322-6463
Salvation Army Shelter Columbus GA,Phenix City,alabama,"1718 2nd Avenue, Columbus, GA 31901",,(706)327-0275
Valley Interfaith Promise,Phenix City,alabama,"1214 3rd Avenue, Columbus, GA 31902",https://valleyinterfaithpromise.com,
Open Door Community House,Phenix City,alabama,"2405 2nd Avenue, Columbus, GA 31901",http://opendoorcommunityhouse.org/,
Valley Rescue Mission,Phenix City,alabama,"2903 Second Avenue, Columbus, GA 31902",http://www.valleyrescuemission.org/,
His Place - Homeless Services and Substance Abuse Services,Phenix City,alabama,"1415 2nd Avenue, Opelika, AL 36801",http://harvestevangelism.org,334-742-0777
Ground Zero Rescue Mission Phil Campbell,Phil Campbell,alabama,"3471 Broad Street, Phil Campbell, AL 35581",,
Family Promise of Baldwin County Homeless Services,Point Clear,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
The Shoulder Rehab For Men,Point Clear,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Salvation Army Foley Alabama,Point Clear,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
McKemie Place,Point Clear,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Salvation Army Mobile - Dauphin Way Lodge,Point Clear,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
Family Promise of Coastal Alabama Mobile,Point Clear,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Waterfront Rescue Mission of Alabama,Point Clear,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Housing First The Homeless Coalition,Point Clear,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
